# Generated: 2026-07-20T17:40:55.309515
# Sample: sample3
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 18476
	sample	region_annotation	leiden_0_6	leiden_0_8
1799	sample3	Region 2	6	8
1844	sample3	Region 2	1	1
1847	sample3	Region 2	6	8
1851	sample3	Region 2	6	8
1858	sample3	Region 2	6	8
1860	sample3	Region 2	6	8
1862	sample3	Region 2	6	8
1865	sample3	Region 2	6	8
1869	sample3	Region 2	6	8
1870	sample3	Region 2	6	8
1871	sample3	Region 2	6	8
1872	sample3	Region 2	6	8
1874	sample3	Region 2	6	8
1876	sample3	Region 2	6	8
1878	sample3	Region 2	6	8
1881	sample3	Region 2	6	8
1883	sample3	Region 2	6	8
1889	sample3	Region 2	6	8
1892	sample3	Region 2	6	8
1935	sample3	Region 2	6	8
1938	sample3	Region 2	6	8
1942	sample3	Region 2	6	8
1943	sample3	Region 2	6	8
1944	sample3	Region 2	6	8
1946	sample3	Region 2	6	8
2024	sample3	Region 2	7	10
2028	sample3	Region 2	3	4
2057	sample3	Region 2	6	8
2078	sample3	Region 2	6	8
2080	sample3	Region 2	6	8
2089	sample3	Region 2	6	8
2096	sample3	Region 2	6	8
2099	sample3	Region 2	6	8
2101	sample3	Region 2	6	8
2102	sample3	Region 2	6	8
2105	sample3	Region 2	6	8
2106	sample3	Region 2	6	8
2113	sample3	Region 2	6	8
2115	sample3	Region 2	6	8
2116	sample3	Region 2	6	8
2119	sample3	Region 2	6	8
2129	sample3	Region 2	6	8
2130	sample3	Region 2	6	8
2131	sample3	Region 2	6	8
2132	sample3	Region 2	6	8
2139	sample3	Region 2	6	8
2141	sample3	Region 2	6	8
2142	sample3	Region 2	6	8
2145	sample3	Region 2	6	8
2222	sample3	Region 2	6	8
2225	sample3	Region 2	6	8
2232	sample3	Region 2	6	8
2235	sample3	Region 2	6	8
2252	sample3	Region 2	6	8
2258	sample3	Region 2	6	8
2260	sample3	Region 2	6	8
2265	sample3	Region 2	6	8
2268	sample3	Region 2	6	8
2270	sample3	Region 2	6	8
2311	sample3	Region 2	4	5
2312	sample3	Region 2	3	4
2337	sample3	Region 2	4	5
2343	sample3	Region 2	6	8
2393	sample3	Region 2	6	8
2402	sample3	Region 2	6	8
2403	sample3	Region 2	6	8
2406	sample3	Region 2	6	8
2420	sample3	Region 2	6	8
2421	sample3	Region 2	6	8
2425	sample3	Region 2	4	11
2447	sample3	Region 2	4	11
2501	sample3	Region 2	3	4
2510	sample3	Region 2	6	8
2511	sample3	Region 2	6	8
2515	sample3	Region 2	6	8
2521	sample3	Region 2	6	8
2523	sample3	Region 2	6	8
2529	sample3	Region 2	6	8
2530	sample3	Region 2	6	8
2531	sample3	Region 2	6	8
2533	sample3	Region 2	6	8
2563	sample3	Region 2	6	8
2567	sample3	Region 2	6	8
2568	sample3	Region 2	6	8
2576	sample3	Region 2	6	8
2578	sample3	Region 2	6	8
2584	sample3	Region 2	6	8
2585	sample3	Region 2	6	8
2588	sample3	Region 2	6	8
2596	sample3	Region 2	6	8
2597	sample3	Region 2	6	8
2598	sample3	Region 2	6	8
2602	sample3	Region 2	6	8
2604	sample3	Region 2	6	8
2605	sample3	Region 2	6	8
2607	sample3	Region 2	6	8
2610	sample3	Region 2	6	8
2612	sample3	Region 2	6	8
2617	sample3	Region 2	6	8
2619	sample3	Region 2	6	8
2620	sample3	Region 2	6	8
2622	sample3	Region 2	6	8
2623	sample3	Region 2	6	8
2624	sample3	Region 2	6	8
2629	sample3	Region 2	6	8
2630	sample3	Region 2	6	8
2631	sample3	Region 2	6	8
2637	sample3	Region 2	6	8
2638	sample3	Region 2	6	8
2641	sample3	Region 2	6	8
2642	sample3	Region 2	6	8
2646	sample3	Region 2	6	8
2648	sample3	Region 2	6	8
2651	sample3	Region 2	6	8
2658	sample3	Region 2	6	8
2659	sample3	Region 2	6	8
2660	sample3	Region 2	6	8
2661	sample3	Region 2	6	8
2667	sample3	Region 2	6	8
2673	sample3	Region 2	6	8
2676	sample3	Region 2	6	8
2678	sample3	Region 2	6	8
2684	sample3	Region 2	6	8
2685	sample3	Region 2	6	8
2690	sample3	Region 2	6	8
2694	sample3	Region 2	6	8
2696	sample3	Region 2	6	8
2705	sample3	Region 2	6	8
2706	sample3	Region 2	6	8
2708	sample3	Region 2	6	8
2710	sample3	Region 2	6	8
2712	sample3	Region 2	6	8
2713	sample3	Region 2	6	8
2714	sample3	Region 2	6	8
2716	sample3	Region 2	6	8
2717	sample3	Region 2	6	8
2720	sample3	Region 2	6	8
2727	sample3	Region 2	6	8
2735	sample3	Region 2	6	8
2736	sample3	Region 2	6	8
2738	sample3	Region 2	6	8
2739	sample3	Region 2	6	8
2747	sample3	Region 2	6	8
2749	sample3	Region 2	6	8
2761	sample3	Region 2	6	8
2763	sample3	Region 2	6	8
2767	sample3	Region 2	6	8
2770	sample3	Region 2	6	8
2773	sample3	Region 2	6	8
2783	sample3	Region 2	6	8
2784	sample3	Region 2	6	8
2786	sample3	Region 2	6	8
2788	sample3	Region 2	6	8
2790	sample3	Region 2	6	8
2791	sample3	Region 2	6	8
2799	sample3	Region 2	6	8
2800	sample3	Region 2	6	8
2809	sample3	Region 2	6	8
2811	sample3	Region 2	6	8
2813	sample3	Region 2	6	8
2814	sample3	Region 2	6	8
2815	sample3	Region 2	6	8
2816	sample3	Region 2	6	8
2821	sample3	Region 2	6	8
2825	sample3	Region 2	6	8
2834	sample3	Region 2	6	8
2836	sample3	Region 2	6	8
2838	sample3	Region 2	6	8
2844	sample3	Region 2	6	8
2850	sample3	Region 2	6	8
2851	sample3	Region 2	6	8
2858	sample3	Region 2	6	8
2865	sample3	Region 2	6	8
2868	sample3	Region 2	6	8
2872	sample3	Region 2	6	8
2873	sample3	Region 2	6	8
2877	sample3	Region 2	6	8
2878	sample3	Region 2	6	8
2881	sample3	Region 2	6	8
2887	sample3	Region 2	6	8
2890	sample3	Region 2	6	8
2891	sample3	Region 2	6	8
2892	sample3	Region 2	6	8
2895	sample3	Region 2	6	8
2902	sample3	Region 2	6	8
2909	sample3	Region 2	6	8
2912	sample3	Region 2	6	8
2914	sample3	Region 2	6	8
2915	sample3	Region 2	6	8
2918	sample3	Region 2	6	8
2933	sample3	Region 2	6	8
2940	sample3	Region 2	6	8
2947	sample3	Region 2	6	8
2959	sample3	Region 2	6	8
2960	sample3	Region 2	6	8
2962	sample3	Region 2	6	8
2966	sample3	Region 2	6	8
2970	sample3	Region 2	6	8
2971	sample3	Region 2	6	8
2974	sample3	Region 2	6	8
2978	sample3	Region 2	6	8
2982	sample3	Region 2	6	8
2987	sample3	Region 2	6	8
2993	sample3	Region 2	6	8
3001	sample3	Region 2	6	8
3002	sample3	Region 2	6	8
3003	sample3	Region 2	6	8
3015	sample3	Region 2	6	8
3027	sample3	Region 2	6	8
3042	sample3	Region 2	4	5
3069	sample3	Region 2	6	8
3072	sample3	Region 2	6	8
3075	sample3	Region 2	6	8
3076	sample3	Region 2	6	8
3082	sample3	Region 2	6	8
3083	sample3	Region 2	6	8
3094	sample3	Region 2	6	8
3098	sample3	Region 2	6	8
